DirectorID,EXECID,execCIK
87637,13956,0001182501
455960,20005,0001373463
87682,00002,NA
455796,30164,0001298502
620390,36163,0001433339
63797,42755,0001200987
345898,42756,0001105964
534445,32590,0001263739
33822,00641,NA
1310783,50471,0001577544
33841,18616,NA
33826,10549,NA
26917,12624,NA
274748,20097,0001016829
274750,20098,0001252515
274752,21524,0001252516
274747,31702,0001254973
345208,45596,0001085676
1144753,46394,0001539401
85302,18260,0001096974
85167,18264,0001168390
85312,28700,0001168387
85172,28699,0001168764
206447,16950,0001171423
35020,00120,0000903649
1530738,51051,0001642826
335375,36415,0000903063
27468,09249,0001027741
1264823,48195,0001554880
320199,09252,0001027737
1660021,50371,NA
335399,34120,0001191152
39851,00003,NA
33500,14300,0001239129
141780,02004,NA
33494,18569,0001239127
1528777,54877,0001612571
66217,15883,0001187360
182471,18737,NA
336173,43706,0001286370
203025,16088,0001198676
203023,08692,NA
1460529,48544,0001618972
334663,28561,0001219735
506367,45297,0001580655
142124,28935,NA
142132,23071,NA
142070,23070,NA
1071350,48510,0001487630
492239,42282,0001411699
142086,23072,NA
180995,20451,0001244241
180990,20452,0001244247
180984,20454,0001244246
336599,46204,0001220091
336457,01696,0001200459
336724,46197,0001203043
347511,24699,NA
444829,23965,NA
183043,18102,0001232815
322266,17330,NA
322254,17328,0000937437
322257,21461,NA
322256,21460,0001095597
322255,22929,0001225865
322265,17329,NA
182013,22979,NA
182022,22980,NA
33700,12125,0001183388
204446,42694,NA
203122,11057,0001183398
54556,22879,0001185248
1046798,55760,0001471403
340555,29959,0001202574
449929,32109,0001293124
86477,10916,0001194731
82506,18968,NA
49341,16349,0001032834
49556,23016,NA
49351,20790,0001224154
200619,32380,0001349872
326472,25735,NA
91982,10278,NA
646662,49942,0001450092
140731,10279,NA
204217,17326,0001191222
104852,18507,0001191220
490428,29486,0001191215
104727,17323,0000928335
204208,17327,0001191219
46401,13283,0001191188
206314,32731,0001291909
206315,28100,0001236884
89832,28099,0001236886
206327,28101,0001260725
201982,20456,0001007705
544257,32732,0001416894
140156,20321,0001230190
46566,16462,0001227297
203935,25959,0001192007
1126646,42390,0001528597
140879,12574,NA
332328,01420,NA
200316,28703,0001192858
69602,12637,NA
69567,18307,0001034380
69592,18308,0001189394
200133,18310,0001239690
1714437,50091,0001684077
202273,22015,NA
85342,26447,0001195460
183258,27332,0001193933
183225,14016,0001239739
310277,28922,0001305814
596401,37774,0001389487
533188,37775,0001389436
57502,37778,0001063339
1367839,50323,NA
851764,44082,0001496472
329319,35416,NA
895862,46896,0001467058
606898,35415,0001432670
329313,26404,NA
203011,19861,0001208642
203010,19860,0001208645
1074465,48597,0001635474
38936,29730,NA
270088,03613,NA
183502,34917,0001216376
183501,34283,0001216372
208029,34285,0001216377
86336,02372,0001245042
208031,34284,0000906079
553070,37909,0001383773
1138544,43628,0001538012
71147,03893,NA
71237,20985,0001237644
38781,00010,NA
485804,31029,0001352552
55877,17293,0001200484
55857,17291,0001182592
443100,32734,0001200475
55872,17292,0001202066
55942,17294,NA
531293,32739,0001432993
497547,32740,0001288191
207365,32738,0001201030
182188,32736,0001195471
511567,32741,0001385014
180367,30008,0001240363
36555,00013,0001075275
44446,03899,0001075300
44321,03898,0001075285
455181,00246,0001312199
83032,00321,NA
82732,04264,NA
83007,21727,NA
1070843,58290,0001581064
140022,07799,NA
140019,07798,NA
598782,37687,0001418949
323395,08068,0001199887
323388,08067,NA
447297,43433,0001249723
323405,27049,0001253279
67417,03024,0001180009
104032,07624,NA
493647,45023,0001348490
348184,45020,0001275238
34404,00015,NA
46851,01443,NA
46396,12121,0001220009
200446,27315,0001265896
24391,46680,0001334296
498975,30097,0001237785
105042,11839,0000908893
182647,34290,0001191886
220029,21310,0001227063
220009,13552,NA
493827,44430,0001298509
183180,18623,NA
25015,09430,0001106231
205747,18624,0001035440
457681,42340,0001268135
348747,49869,0001120808
220505,21308,0001188835
201994,03915,NA
182285,03929,0001181135
182302,03926,0001181134
881899,42395,0001510406
200041,01836,NA
200034,00763,0000919560
487275,29189,0001266395
78787,03691,NA
78837,03692,0000904530
27469,02041,NA
453058,28999,0001304895
68857,00016,NA
35852,00017,NA
36123,02048,NA
32368,23404,0001219343
35858,19302,NA
